Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,68.919,71.241,73.42699999999999,75.56,77.687,79.87,82.141,84.509,86.956,89.49,92.064,94.70299999999999,97.384,100.164,103.069,106.119,109.34700000000001,112.69200000000001,116.061,119.26100000000001,122.182,124.79299999999999,127.15,129.29399999999998,131.30700000000002,133.26,135.14700000000002,136.989,138.965,141.305,144.155,147.566,151.5,155.822,160.347,164.921,169.56799999999998,174.32,179.028,183.46900000000002,187.55200000000002,191.12599999999998,194.317,197.61599999999999,201.674,206.963,213.676,221.606,230.28400000000002,239.02599999999998,247.315,254.984,262.20599999999996,269.13,276.089,283.277,290.747,298.407,306.165,313.92900000000003,321.608,329.19199999999995,336.70099999999996,344.181,351.694,359.288
Benin,2255.226,2258.476,2264.871,2274.476,2287.385,2303.587,2323.056,2345.717,2371.453,2400.127,2431.6220000000003,2465.867,2502.896,2542.859,2585.965,2632.3559999999998,2682.159,2735.3070000000002,2791.59,2850.6609999999996,2912.34,2976.572,3043.567,3113.675,3187.4120000000003,3265.165,3347.173,3433.4390000000003,3523.938,3618.526,3717.165,3820.1279999999997,3927.7140000000004,4039.949,4156.819,4278.501,4404.505999999999,4535.263,4672.852,4820.016,4978.496,5149.499,5331.803000000001,5521.763000000001,5714.22,5905.558000000001,6094.259,6281.639,6470.265,6664.098000000001,6865.951,7076.733,7295.394,7520.555,7750.004,7982.225,8216.896,8454.791,8696.916,8944.706,9199.259,9460.802,9729.16,10004.451,10286.712,10575.952
Bermuda,37.26,37.814,38.478,39.198,39.966,40.755,41.562,42.394,43.233000000000004,44.075,44.946000000000005,45.833999999999996,46.725,47.603,48.435,49.208999999999996,49.913999999999994,50.558,51.147,51.72,52.286,52.856,53.43,53.978,54.508,54.99,55.431000000000004,55.849,56.236000000000004,56.61600000000001,56.992,57.371,57.746,58.13399999999999,58.525,58.92,59.324,59.731,60.14,60.538000000000004,60.93,61.312,61.677,62.034,62.381,62.696000000000005,62.986000000000004,63.25899999999999,63.511,63.766999999999996,64.028,64.32300000000001,64.61,64.87,65.065,65.13,65.063,64.892,64.625,64.303,63.956,63.581,63.178999999999995,62.771,62.382,62.003
Bhutan,176.797,180.825,184.79,188.81599999999997,193.011,197.457,202.174,207.165,212.38400000000001,217.773,223.28799999999998,228.918,234.706,240.778,247.325,254.46400000000003,262.244,270.622,279.515,288.774,298.301,308.053,318.045,328.31199999999995,338.94300000000004,349.98199999999997,361.455,373.324,385.384,397.39,409.17199999999997,420.38,431.05,441.847,453.72,467.17800000000005,482.952,500.43699999999995,517.273,530.257,537.28,537.284,531.525,523.117,516.503,514.877,519.2819999999999,528.754,542.155,557.543,573.4159999999999,589.6,606.399,623.434,640.2819999999999,656.6389999999999,672.2280000000001,686.9580000000001,700.95,714.4580000000001,727.6410000000001,740.51,752.967,764.961,776.448,787.3860000000001
Bolivia (Plurinational State of),3089.6459999999997,3140.336,3193.289,3248.461,3305.836,3365.36,3427.002,3490.684,3556.36,3623.965,3693.449,3764.813,3838.097,3913.395,3990.857,4070.59,4152.668,4237.125,4324.064,4413.59,4505.778,4600.590999999999,4698.083,4798.509,4902.168,5009.2570000000005,5119.833,5233.677,5350.321999999999,5469.1230000000005,5589.575,5711.599,5835.182,5959.96,6085.496,6211.55,6337.893,6464.732,6592.786999999999,6723.045999999999,6856.244000000001,6992.521,7131.706999999999,7273.825,7418.861,7566.714,7717.443,7870.855,8026.254,8182.7119999999995,8339.511999999999,8496.375,8653.345,8810.42,8967.741,9125.409,9283.334,9441.444,9599.855,9758.748,9918.242,10078.343,10239.004,10400.264000000001,10562.159,10724.705
Bosnia and Herzegovina,2661.296,2710.651,2764.7129999999997,2821.308,2878.849,2936.309,2993.2709999999997,3049.9190000000003,3106.8940000000002,3165.191,3225.6679999999997,3288.6020000000003,3353.2259999999997,3417.574,3478.995,3535.64,3586.634,3632.6690000000003,3675.452,3717.466,3760.527,3805.285,3851.151,3897.255,3942.223,3985.103,4025.265,4063.191,4100.35,4138.819,4179.855,4222.5109999999995,4265.31,4308.106,4350.746,4392.13,4435.504,4478.519,4508.056,4506.653,4463.4220000000005,4371.603,4239.154,4087.9990000000003,3948.816,3843.712,3780.3779999999997,3752.4309999999996,3750.485,3759.118,3766.7059999999997,3771.284,3775.8070000000002,3779.2470000000003,3781.2870000000003,3781.53,3779.468,3774.0,3763.599,3746.5609999999997,3722.0840000000003,3688.865,3648.2,3604.9990000000003,3566.002,3535.961
Botswana,412.531,425.265,437.16900000000004,448.44199999999995,459.23800000000006,469.74,480.148,490.626,501.398,512.6469999999999,524.552,537.249,550.84,565.3530000000001,580.799,597.19,614.613,633.154,652.8430000000001,673.64,695.597,718.6389999999999,742.835,768.512,796.095,825.84,857.855,891.926,927.585,964.166,1001.158,1038.397,1075.889,1113.539,1151.292,1189.114,1226.81,1264.3139999999999,1301.818,1339.624,1377.912,1416.731,1455.8329999999999,1494.693,1532.622,1569.094,1604.06,1637.635,1669.625,1699.862,1728.34,1754.935,1779.953,1804.339,1829.33,1855.852,1884.2379999999998,1914.414,1946.351,1979.882,2014.866,2051.339,2089.315,2128.507,2168.573,2209.197
Brazil,53974.72900000001,55619.224,57307.475999999995,59030.858,60784.892,62569.195999999996,64387.823,66248.946,68164.042,70146.51299999999,72207.554,74351.76299999999,76573.24799999999,78854.019,81168.65400000001,83498.02,85837.799,88191.37800000001,90557.064,92935.07199999999,95326.793,97728.961,100143.59800000001,102584.278,105069.367,107612.1,110213.082,112867.867,115577.66900000001,118342.62599999999,121159.761,124030.90800000001,126947.365,129882.321,132800.684,135676.281,138499.464,141273.488,144001.542,146691.981,149352.145,151976.577,154564.27800000002,157132.682,159705.12300000002,162296.612,164913.30599999998,167545.164,170170.64,172759.24300000002,175287.587,177750.67,180151.021,182482.14899999998,184738.458,186917.361,189012.41199999998,191026.637,192979.02899999998,194895.996,196796.26899999997,198686.688,200560.983,202408.63199999998,204213.133,205962.108
British Virgin Islands,7.44,7.507999999999999,7.565,7.608,7.648,7.684,7.735,7.787000000000001,7.849,7.932,8.033,8.155,8.298,8.452,8.627,8.814,9.007,9.218,9.424,9.621,9.802999999999999,9.97,10.125,10.264000000000001,10.379000000000001,10.475999999999999,10.543,10.591,10.662,10.792,11.002,11.315,11.712,12.187999999999999,12.731,13.304,13.937999999999999,14.589,15.265999999999998,15.9,16.461,16.934,17.344,17.703,18.052,18.427,18.833,19.27,19.722,20.188,20.645,21.085,21.529,22.0,22.541,23.168000000000003,23.905,24.730999999999998,25.604,26.447,27.224,27.901,28.509,29.055999999999997,29.588,30.113000000000003
Brunei Darussalam,48.001000000000005,50.961000000000006,53.927,56.968,60.12,63.42,66.862,70.457,74.15,77.919,81.745,85.596,89.516,93.57600000000001,97.848,102.425,107.316,112.494,117.95,123.65299999999999,129.583,135.726,142.07299999999998,148.56,155.109,161.671,168.22400000000002,174.773,181.257,187.65599999999998,193.949,200.085,206.128,212.136,218.227,224.512,230.972,237.622,244.458,251.514,258.785,266.274,273.96299999999997,281.751,289.525,297.192,304.699,312.038,319.222,326.289,333.241,340.11699999999996,346.86699999999996,353.389,359.523,365.158,370.25,374.86400000000003,379.25199999999995,383.772,388.662,394.01300000000003,399.74800000000005,405.716,411.704,417.542
Bulgaria,7250.999,7310.51,7371.97,7434.611,7497.8730000000005,7561.405,7625.105,7689.047,7753.528,7818.911999999999,7885.525,7953.378000000001,8022.06,8090.6,8157.722,8222.47,8284.335,8343.386999999999,8399.919,8454.501,8507.476,8558.968,8608.610999999999,8655.674,8699.139000000001,8738.360999999999,8772.535,8801.885,8828.014000000001,8853.187,8878.775,8905.069,8930.671,8953.074,8968.856,8975.291,8972.469000000001,8960.472,8936.556999999999,8897.446,8841.371,8766.89,8676.243,8575.889000000001,8474.669,8379.18,8291.872,8211.726,8137.564,8066.883000000001,7997.786999999999,7930.545999999999,7866.085999999999,7803.880999999999,7743.264,7683.763000000001,7624.959,7566.9490000000005,7510.331,7456.03,7404.59,7356.213000000001,7310.383000000001,7266.141,7222.145,7177.396
Burkina Faso,4284.460999999999,4324.494000000001,4367.134,4413.202,4463.168,4517.155,4574.942,4635.955,4699.34,4764.077,4829.288,4894.58,4960.326,5027.821,5098.89,5174.87,5256.363,5343.019,5434.041,5528.174,5624.6,5723.380999999999,5825.173000000001,5930.483,6040.041,6154.545,6274.036999999999,6398.935,6530.819,6671.656,6822.843000000001,6985.16,7158.255,7340.905,7531.241999999999,7727.906999999999,7930.694,8140.073,8356.305,8579.823,8811.034,9050.084,9297.113000000001,9552.476,9816.588,10089.878,10372.745,10665.546,10968.723999999998,11282.701000000001,11607.942,11944.587,12293.1,12654.621000000001,13030.569,13421.93,13829.177,14252.021,14689.726,15141.098999999998,15605.216999999999,16081.903999999999,16571.216,17072.723,17585.977,18110.624
Burundi,2308.92,2359.123,2403.511,2445.42,2487.39,2531.1839999999997,2577.735,2627.2329999999997,2679.1409999999996,2732.438,2786.1059999999998,2839.6659999999997,2893.6690000000003,2949.926,3010.8590000000004,3077.8759999999997,3152.723,3234.0229999999997,3316.2329999999997,3391.7529999999997,3455.6059999999998,3505.3909999999996,3544.047,3578.49,3618.585,3671.494,3739.659,3821.1940000000004,3913.768,4013.31,4116.817,4223.195,4333.3859999999995,4448.728,4571.292,4702.066,4841.565,4987.736,5135.956,5280.024,5415.415,5542.048000000001,5661.139,5771.398,5871.607,5962.058000000001,6041.111999999999,6112.097,6186.352,6278.94,6400.706,6555.829000000001,6741.569,6953.113,7182.451,7423.289000000001,7675.338000000001,7939.573,8212.264000000001,8489.030999999999,8766.93,9043.508,9319.71,9600.186,9891.79,10199.27
Cabo Verde,178.06599999999997,186.13,191.52700000000002,194.83700000000002,196.635,197.421,197.7,197.928,198.53900000000002,199.90599999999998,202.31,205.956,210.86700000000002,216.908,223.84599999999998,231.428,239.77,248.747,257.509,264.909,270.198,272.992,273.651,273.005,272.29200000000003,272.423,273.652,275.767,278.73900000000003,282.415,286.657,291.60200000000003,297.285,303.368,309.397,315.069,320.183,324.893,329.671,335.184,341.88300000000004,349.934,359.09,369.014,379.156,389.12699999999995,398.773,408.175,417.32300000000004,426.285,435.079,443.716,452.106,460.147,467.664,474.56699999999995,480.795,486.43800000000005,491.723,496.963,502.384,508.06699999999995,513.979,520.106,526.437,532.913
Cambodia,4432.714,4537.543,4656.277,4783.092000000001,4913.695,5045.288,5176.657999999999,5308.142,5441.319,5578.675,5722.37,5873.015,6028.5509999999995,6183.746999999999,6331.5830000000005,6467.196999999999,6584.766,6685.321,6778.723000000001,6879.184,6994.848000000001,7137.749,7300.151999999999,7447.285,7531.424,7522.593000000001,7402.8730000000005,7194.279,6955.566,6768.724,6692.107,6748.193,6918.101,7168.236,7446.019,7712.978,7958.976,8196.037,8433.798,8689.152,8973.341999999999,9286.976,9621.504,9968.275,10315.376,10653.558,10980.273000000001,11295.88,11597.739,11883.636,12152.354,12402.473,12634.729,12853.124,13063.377,13270.201000000001,13474.489,13676.693000000001,13880.508999999998,14090.208,14308.74,14537.886,14776.866000000002,15022.692,15270.79,15517.635
Cameroon,4307.022,4382.927,4460.318,4539.443,4620.627,4704.233,4790.714,4880.594,4974.431,5072.8009999999995,5176.268,5285.231,5399.922,5520.331999999999,5646.316,5777.834,5915.1230000000005,6058.539000000001,6208.281999999999,6364.569,6527.635,6697.745,6875.228,7060.603,7254.468000000001,7457.361999999999,7669.445,7890.969,8122.529,8364.835,8618.354,8883.016,9158.565999999999,9445.003,9742.263,10050.023000000001,10368.3,10696.274,11031.817,11372.16,11715.218,12060.729,12408.931,12758.881000000001,13109.66,13460.993999999999,13812.472,14165.423,14523.57,14891.891000000001,15274.233999999999,15671.927,16084.886,16513.822,16959.081000000002,17420.795,17899.561999999998,18395.389,18907.008,19432.541,19970.495,20520.447,21082.382999999998,21655.715,22239.904,22834.522
