country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia (Plurinational State of),4763.33447265625,5419.16357421875,5365.9169921875,4622.08447265625,4765.34912109375,5199.49658203125,4816.4677734375,4687.1708984375,4744.98095703125,4790.75634765625,5086.6611328125,5364.2734375,5537.06591796875,5894.6240234375,6380.58056640625,7064.81982421875,7470.88525390625,7865.61083984375,7062.60986328125,7359.2978515625,7698.76806640625,8141.96044921875,8301.232421875,8801.6328125,10214.7861328125,9943.08984375,10580.5478515625,11166.056640625,10894.263671875,11516.603515625,11840.130859375,12358.2041015625,12534.9228515625,12375.666015625,13256.3779296875,14041.5673828125,13687.7900390625,14129.1123046875,13200.0107421875,14141.857421875,15111.734375,15874.0439453125,16563.388671875,17690.375,19451.837890625,21554.333984375,23696.099609375,24224.45703125,24871.7890625,25300.685546875,25935.263671875,26814.552734375,27927.232421875,29839.017578125,32430.396484375,34352.5078125,38182.8125,40248.95703125,44330.01171875,45208.078125,50679.75390625,56194.98828125,59990.30859375,63061.62109375,63506.14453125
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306.2802734375,5707.91796875,5382.31884765625,5231.171875,5771.72607421875,7266.92138671875,12956.95703125,17611.9296875,18313.224609375,20922.68359375,21041.890625,21473.20703125,22844.2890625,23264.240234375,24049.9921875,25373.17578125,28482.107421875,31117.38671875,33063.41796875,33424.52734375,33647.109375,34659.4765625,35907.328125,37370.31640625,38280.54296875
Botswana,,,,,,,,,,,251.89031982421875,269.28570556640625,290.14752197265625,306.3757629394531,329.8608703613281,311.6632995605469,331.20025634765625,380.0549011230469,447.55474853515625,448.7665100097656,552.9022216796875,692.2071533203125,862.3984375,1054.8065185546875,1156.57958984375,1261.825439453125,1411.2645263671875,1538.925048828125,1626.2711181640625,1875.1466064453125,2251.98193359375,2479.797119140625,2491.021728515625,2716.727783203125,3184.8125,3914.9296875,4878.353515625,5473.39501953125,6414.96728515625,8272.2529296875,8687.5,9139.2001953125,9235.5234375,9614.2373046875,10163.5693359375,11141.0830078125,13368.171875,14476.609375,14266.578125,16621.951171875,17822.814453125,17634.701171875,18394.869140625,19085.912109375,20568.884765625,23613.412109375,25107.4921875,25748.228515625,24899.72265625,22978.263671875,26033.560546875,29128.1171875,29166.185546875,30886.61328125,35908.015625
Brazil,89666.0,93575.3203125,100258.640625,103663.28125,112733.34375,123580.15625,127166.3125,135673.15625,149242.59375,159248.828125,177142.4375,192504.421875,206124.578125,208103.09375,217692.34375,223910.296875,239142.390625,254557.84375,276938.75,291610.9375,331845.03125,369921.8125,415079.59375,475298.3125,503499.59375,528171.9375,580594.1875,600753.8125,620051.75,657297.3125,661064.3125,669880.8125,689713.375,682062.6875,721960.0,758729.8125,860333.25,889041.8125,902415.0625,912854.6875,885780.5625,944316.5,980538.8125,1056446.25,1190280.0,1389038.25,1667190.375,1616979.25,1559408.5,1496293.0,1516619.75,1504753.375,1535067.25,1533252.5,1619027.375,1651608.0,1804225.0,2004713.25,2218564.25,2316633.5,2684073.75,2982536.25,2989361.75,3080763.5,3064498.75
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,106.7055892944336,93.50423431396484,91.67671966552734,97.13602447509766,105.07991027832031,110.00664520263672,107.461669921875,103.02629089355469,110.9753189086914,127.67091369628906,147.18475341796875,148.2008056640625,150.16761779785156,159.1358642578125,167.34249877929688,169.46275329589844,176.31280517578125,202.2405242919922,223.8649444580078,242.37979125976562,219.4958953857422,197.6880645751953,238.349853515625,309.98095703125,392.23687744140625,485.82861328125,524.843017578125,580.657958984375,639.4775390625,702.0686645507812,763.6543579101562,800.8649291992188,775.796142578125,678.3529052734375,703.8641357421875,808.322021484375,817.6403198242188,822.3038940429688,818.6945190429688,848.5059814453125,858.7778930664062,845.4497680664062,805.031494140625,800.4213256835938,798.0745849609375
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,11774.220703125,12991.3046875,14265.1044921875,15482.619140625,17602.125,17531.66796875,20652.4453125,22296.07421875,23007.6953125,28269.505859375,30988.0390625,28990.076171875,22356.0390625,21101.04296875,21182.55859375,19393.8203125,12279.9326171875,13573.9404296875,11698.150390625,13024.3017578125,13891.9560546875,13581.435546875,14135.9912109375,13352.337890625,12588.392578125,11751.58203125,15864.619140625,13625.8212890625,12017.8623046875,14104.603515625,17264.494140625,16787.908203125,17156.48046875,19025.958984375,21834.162109375,26188.603515625,29222.62890625,27802.736328125,32095.79296875,24339.677734375,25690.29296875,31208.8359375,31467.958984375,29420.3984375,28590.884765625
Bulgaria,,,,,,,,,,,,,,,,,,,,,39342.546875,42050.73046875,45263.671875,48996.52734375,52646.19140625,57267.2109375,61202.67578125,64676.6640625,68381.9375,73992.5390625,75692.5546875,80724.875,84382.0546875,89005.640625,91928.8828125,95199.828125,96845.984375,104746.9375,109854.34375,106403.8671875,106085.578125,109315.9140625,91567.375,83350.0078125,82861.515625,84245.6015625,70589.2578125,64304.2578125,66963.1953125,66210.3125,69714.9140625,72042.34375,76615.015625,77772.3125,81594.2734375,83090.8359375,90097.21875,102106.9375,109978.1796875,112186.5859375,113447.8046875,116328.3046875,118598.9453125,121904.390625,125746.53125
Burkina Faso,,,,,,,,,,3163.48388671875,3510.81787109375,3431.48193359375,3703.978759765625,3589.283447265625,3778.69287109375,3776.277099609375,3809.15966796875,4153.283203125,4302.1337890625,4381.8349609375,4226.259765625,4172.87255859375,4929.27490234375,4697.1474609375,4974.9912109375,4999.70556640625,5035.5810546875,5440.20068359375,6010.58349609375,6414.091796875,6355.0849609375,6729.9169921875,6679.45654296875,6264.91015625,6345.1728515625,7005.14111328125,7546.40771484375,7495.62353515625,7965.5849609375,8030.0244140625,8036.22412109375,8662.8291015625,8651.3251953125,8932.771484375,8446.50390625,8885.7177734375,9826.388671875,10406.85546875,11420.828125,12193.9365234375,12347.6044921875,13136.6552734375,13789.7158203125,14880.166015625,15581.47265625,16707.046875,17379.59765625,17625.380859375,18353.533203125,18910.1953125,20658.197265625,22319.994140625,23993.08203125,24781.7265625,27526.662109375
Burundi,,,,,,,,,,,1812.3914794921875,1569.187744140625,1705.0550537109375,1757.1195068359375,1812.24072265625,1871.3331298828125,1904.716552734375,2137.22265625,2150.895263671875,2051.307861328125,2558.91357421875,2597.6630859375,2364.708984375,2600.501953125,2557.10693359375,2488.8837890625,2929.9462890625,3523.03564453125,3305.963134765625,3381.754150390625,3356.10302734375,3556.1796875,3501.385986328125,3671.638671875,3778.966796875,4179.64111328125,4378.5361328125,4291.64599609375,4615.6640625,4432.38134765625,4481.55078125,4684.3759765625,4569.31494140625,4223.13134765625,4460.04833984375,4086.709228515625,3817.195556640625,3935.36962890625,4193.9072265625,4274.5185546875,3999.044921875,4052.394775390625,4135.95556640625,4283.38623046875,4551.4208984375,4507.484375,4319.6142578125,4279.0419921875,4629.9296875,5476.87646484375,6031.2744140625,6276.2060546875,7177.265625,7773.3056640625,8355.9853515625
Cabo Verde,,,,,,,,,,,200.74887084960938,243.42388916015625,207.8285675048828,172.0310516357422,186.22740173339844,195.95314025878906,247.93307495117188,275.5492248535156,307.9906921386719,333.917236328125,379.0515441894531,398.89605712890625,408.2122497558594,414.7149658203125,422.1086120605469,350.5120544433594,356.9836730957031,340.43963623046875,373.08953857421875,385.0843505859375,413.2690734863281,429.1012878417969,455.0783386230469,491.6966247558594,511.0718688964844,533.0944213867188,598.670654296875,637.5003051757812,658.7302856445312,704.17236328125,692.4564819335938,714.323974609375,770.2122192382812,816.5050048828125,925.39892578125,945.3136596679688,1085.615478515625,1088.7322998046875,1230.83154296875,1432.3656005859375,1460.0157470703125,1535.1990966796875,1618.9415283203125,1807.6514892578125,1934.8271484375,1940.26123046875,2139.3095703125,2444.510986328125,2656.30908203125,2755.75048828125,2858.186279296875,3036.923828125,3085.863525390625,2943.888671875,3232.39990234375
Cambodia,,,,,,,,,,,,,,,,,,,,,11794.923828125,11210.6875,10605.7626953125,8602.44140625,8152.4150390625,8043.90185546875,8044.6611328125,6858.8115234375,6860.44384765625,5987.2041015625,5642.54443359375,5633.4287109375,5628.69580078125,5883.04052734375,6173.16455078125,6443.3076171875,6725.8388671875,8084.5439453125,9153.966796875,9556.208984375,9616.07421875,10507.884765625,11223.546875,10640.375,11467.44140625,12538.6298828125,12103.8115234375,12951.916015625,13337.515625,14976.3642578125,16009.9951171875,17284.306640625,18988.26953125,20522.32421875,22508.94921875,25306.486328125,27406.92578125,29802.76953125,33461.08984375,33897.63671875,35098.3359375,37870.953125,40904.31640625,44534.97265625,45914.9296875
Cameroon,,,,,,,,,,,7053.58935546875,7333.353515625,7274.97509765625,7720.20849609375,8013.23828125,8393.974609375,8724.23046875,7889.67919921875,8389.2587890625,8995.72265625,9382.4638671875,10093.9267578125,11109.00390625,11526.9873046875,11887.3720703125,13303.501953125,13085.62890625,14827.9794921875,17800.271484375,18547.955078125,18412.234375,20878.798828125,23542.05859375,26852.505859375,30372.12109375,31975.755859375,29446.9296875,28276.580078125,27547.236328125,27909.3515625,28617.431640625,28122.181640625,27243.435546875,26645.736328125,27481.025390625,29054.79296875,30991.060546875,32102.35546875,33688.0,35247.68359375,36452.515625,36725.78125,37930.33984375,40130.16015625,41252.84375,41873.79296875,44722.38671875,45857.453125,46341.39453125,47775.1328125,50056.4140625,52200.23046875,54898.62890625,57711.25,61073.9296875
Canada,155354.90625,161108.328125,176113.234375,185097.703125,183666.671875,201421.40625,218993.734375,222882.546875,226730.578125,237210.625,244683.703125,253414.609375,269333.78125,282649.34375,302435.84375,323098.53125,344452.875,354289.25,370608.28125,389622.03125,398512.625,418952.375,444021.375,482286.21875,510333.4375,514823.84375,547177.5625,559669.75,576510.875,606896.625,619262.0,635159.75,609934.0625,633422.25,674863.5625,712629.0,726674.8125,769157.75,817613.5625,847498.75,845299.625,824521.25,831972.5,857152.375,905895.9375,947797.0625,970836.4375,1015665.3125,1040499.9375,1100127.375,1167052.0,1166188.25,1173454.0,1211093.625,1260985.5,1311424.25,1343928.0,1376869.875,1404807.25,1310933.75,1371810.5,1423920.375,1447882.0,1478438.625,1507209.0
Cayman Islands,,,,,,,,,,,,,,,,,,,,,241.9845733642578,249.649169921875,269.8818664550781,308.6111145019531,339.2276611328125,372.63739013671875,409.49945068359375,449.9660339355469,494.6543884277344,544.9207763671875,596.5216674804688,656.0320434570312,720.6065673828125,817.265869140625,888.290771484375,889.2335205078125,980.514404296875,1066.0218505859375,1241.39892578125,1335.636474609375,1495.0238037109375,1516.0975341796875,1570.122802734375,1647.5511474609375,1731.11865234375,1812.996826171875,1904.3204345703125,2010.3114013671875,2618.894775390625,2706.695556640625,2733.131591796875,2748.596923828125,2796.099853515625,2851.8994140625,2877.41162109375,3064.168212890625,3205.288330078125,3306.700927734375,3294.7802734375,3057.62548828125,2974.61328125,3009.36572265625,3046.0615234375,3084.040771484375,3045.2880859375
