"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31265.2872681747","32020.0269470203","32332.5719776066","32235.9770984924","32883.5210359335","33709.1975857288","34471.0758657818","35191.2697031315","36404.0997144394","37637.702050424","38812.0509664797","39185.9230068408","39639.2869897964","39744.9386581303","40567.8638646797","41154.9605735881","42324.0564534604","43714.8963409878","44252.5352991012","42459.9772012101","43174.9763064139","44237.9603165389","44365.1285280517","44161.536354577","44122.6504065441","44074.9477453315","44143.7001647737","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8513.31069277994","8323.49934468511","6345.5169997564","4806.13270233044","3807.50790708691","3319.76734895474","3329.13480415802","3488.41002547603","3801.00252072188","4046.6074672842","4458.99842303434","4862.6190309313","5338.07631838764","5891.13710833521","6435.44812947118","8051.67483806248","10711.1822716451","13243.2128559113","14364.9942336723","15393.8932908055","15950.2574578784","15754.1523626148","15888.2179950886","16593.1887600482","16715.1055213058","16698.8636532538","15994.0097416242","",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1087.48872825938","1115.73855046451","1103.29910902375","1014.69065326086","959.173830077497","869.808033784771","789.751666666058","768.168390676507","794.998070315624","775.364107582963","754.096280212503","751.388912965824","763.177201007773","730.90295129817","741.766251653457","724.160012349081","738.092490310413","747.676474687463","759.339932485036","760.061723427025","763.831930213843","771.509423734821","778.735483594131","790.714517573484","803.172837396172","748.541644925875","721.176561507115","",
"Belgium","BEL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30701.2039098119","31148.0205597839","31496.7431153266","31072.16717877","31976.1555558002","32670.2140674895","33126.0478941793","34272.05348812","34874.555502007","36034.4867286635","37253.4668247587","37426.880556365","37922.7961053182","38056.8517513189","39269.8098978177","39872.3855382126","40600.1833738539","41672.4320066564","41653.487442938","40375.4868467344","41086.5615358867","41248.6927004621","41006.4217261153","40780.8721769882","41355.162022427","41723.1237282863","41945.6921230227","",
"Benin","BEN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462.67742107927","1473.86252559355","1465.57057864765","1497.74263989156","1476.5393429105","1515.06774041106","1531.64280725026","1571.16906095909","1585.78506587644","1621.90086797704","1666.46746353098","1703.01513026645","1728.69687889668","1734.69529970284","1757.90297863214","1735.97415014991","1752.95773973829","1805.62256823782","1841.24980105023","1831.76251754635","1818.77846075906","1820.89469315629","1855.84342847873","1934.59577170696","2001.12916130051","1987.16714645212","2009.96138385757","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","821.22602706707","872.051680100426","850.856262438947","856.774715787471","844.68700448241","868.785811845872","938.178756179477","970.059205575902","1012.17636419313","1056.86715388602","1045.9534938222","1083.69796583346","1098.81084881215","1150.70447153269","1167.55241209396","1231.69148009661","1270.17166670911","1302.18406897901","1355.54078510384","1354.08496434269","1424.78174712392","1472.71619137921","1521.45365108855","1518.32718358711","1535.71559684149","1550.84702923701","1594.57677663496","",
"Bangladesh","BGD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1287.93366418737","1301.69965941864","1341.76334138033","1374.41890576168","1397.31861864065","1437.6397305204","1470.90745239521","1504.87169006458","1550.31803503193","1590.25166657181","1641.95876843278","1692.82911877697","1725.63200463028","1775.97815407773","1838.76198025346","1929.93874339681","2031.27129311695","2148.47399345425","2252.16873338547","2339.86576916766","2442.72888765696","2570.85014525476","2706.58674530986","2835.76661976407","2973.0415646346","3132.56754015214","3319.35355606232","",
"Bulgaria","BGR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9296.88985758072","8596.4557709594","8057.34935174809","8001.65586269044","8174.84040345724","8446.19188407422","8625.70175724536","8582.91285813763","8942.79161789051","8488.55880452466","8958.05060612762","9526.35045688052","10321.2877813684","10931.6021311602","11736.4837198158","12680.8839404064","13640.4485985886","14795.7927243694","15741.4176435603","15174.6258062556","15283.1797819496","15676.0532222803","15771.9945371255","15997.2418212004","16302.2183469108","17000.068661858","17709.0751859959","",
"Bahrain","BHR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35578.0491379966","38499.5191658791","40029.0332033852","44074.7887811407","42894.6605076184","43464.4415541075","44080.2829531167","44201.5142899586","44901.9632984243","45152.1112489048","45537.1700617096","44467.9056277652","43718.542725532","43759.0749595838","43929.1023040845","43773.5718163115","43237.8482055354","43321.2835995908","42776.8951492002","41256.0621298682","41107.4766088393","40696.1509703133","41502.4329725186","43245.0631590648","44417.5203675318","44507.8299588669","","",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24281.345473518","22840.0444471512","21552.1018642925","21217.3477588362","21510.2554067805","22111.1264187484","22749.4126114252","22961.2682067106","23788.0879859178","25182.6326195972","25847.3467287936","26067.0349475819","26250.5648661471","25377.6926760114","25063.5596078147","25385.3867111372","25514.324264975","25392.0813365731","24350.3814024027","22925.9672631568","22895.0657376505","22674.7278158328","23029.4216849349","22714.7669938149","22303.5878564892","21670.1175565485","21481.7260997181","",
