"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149265598050.142","159542008962.477","166595081902.35","171457345121.241","179312406870.466","187936230415.855","195238404901.151","202438785262.767","212561203744","220639956878.73","235199434481.437","239526996129.988","251984858807.042","260752537378.895","275941989711.452","288086851811.747","311271039094.77","326651755314.254","343812802543","341812086669.349","351992653155.42","373031463577.163","391635006784.261","406370494341.228","418581288786.895","432415852968.164","443004986827.603","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39391924924.6846","40418168682.0032","31996789308.4074","25190961047.1709","20658827705.9402","18601118782.8909","19186921180.7761","20647193888.5411","22958395782.3192","25034653525.1852","28446401577.8736","31975038896.4589","35907280254.4702","40725100374.2","46113109804.6625","60162435044.7109","83404506136.5201","107072181205.494","120933045859.918","133318471842.669","141497529647.474","144514131462.76","150414031877.609","161703059598.88","167890075290.44","171917938618.064","168713818094.438","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3806386335.99296","4129612098.19916","4266408487.578","4095359449.3554","4022323848.66314","3781004169.5258","3542026147.14977","3545365949.82059","3754074760.34593","3773027793.83032","3825818400.26165","3993448844.89887","4235048651.30674","4266639000.63352","4595865283.15994","4786437294.98027","5199140913.05533","5592951683.66964","5990540954.70769","6245390585.02127","6561000838.55437","6977151645.62124","7391277397.29409","7855690248.84843","8369037350.10191","8144198523.74761","8201052195.02701","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186965977035.874","196730458554.605","204294992604.562","207143817587.975","218378882513.676","228249973304.513","232508390300.522","243441992450.098","250371676956.029","262228511791.511","286696081413.862","298567196839.408","314972060002.29","322226541836.158","336193709004.308","349276733932.28","373467684494.663","391643536638.986","408408771079.89","410781599096.42","437233016975.54","455705357904.872","471332758408.878","486673712361.97","501469751825.915","514434258583.823","528158883976.893","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4706554345.96153","5068722233.68237","5337601927.05743","5783520743.93818","6025938758.34472","6523498026.22222","6929832339.05287","7452642550.72559","7831926569.19514","8376520572.0259","9069163095.3746","9770280733.79246","10381010530.1817","10952669661.9743","11752340790.9703","12338111332.6274","13219119497.2434","14383350251.0893","15383136311.8055","15859440470.1681","16392960557.8805","17227124154.8024","18388394739.0262","20029425217.0217","21684195160.0534","22422833474.3831","23613010809.3712","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4808412462.15791","5419099749.54696","5555529167.94154","5884583261.45538","6088844516.7725","6571158670.97532","7428128268.53463","8032514302.92664","8713051671.82595","9501391912.27137","9894481756.16562","10789241053.7084","11431735282.6762","12569430860.902","13493452593.3472","15134014521.7473","16574400246.0399","17977728232.4829","19667490920.6703","20403830708.482","21762797284.5776","23684085089.3575","25676772178.7537","27602824638.9527","29312724294.4887","30845651417.4851","33087227013.7451","",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88395044692.3496","94520597789.6556","101936972087.392","109279414286.934","115946602029.696","124426667319.526","132428597254.634","140742788887.851","149635575668.415","159020639186.08","171248156731.994","184043639225.26","194031856405.822","207280610211.284","224139419248.384","246472416034.399","270994233918.351","297843872857.018","321949477684.351","340760579977.767","364140854585.653","395684471605.039","429252817813.651","462415702168.173","499223805274.528","538771345819.633","584459389851.811","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45228331626.8027","42786930296.0232","40579717254.8666","40930256406.4566","42561259101.934","44691671604.3643","47039372861.165","47251378165.7006","49599901573.7974","47223164449.5391","52048554046.3749","55697253858.0976","60865435768.0337","65151655914.8783","70820052617.123","78696319688.2042","86483331036.5608","97319421413.4082","107360600199.079","105417515041.694","110660235890.697","115192780822.772","118415564499.873","120940309758.205","125740359477.767","130989950882.259","139056468587.237","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11255108050.4929","12935754981.7821","14115761128.3262","16311535423.5464","16617019657.3553","17630264881.5677","18689947802.5646","19597800847.2328","20759410084.9973","21983410784.4815","23675279805.7374","24818015160.7668","26109731936.7224","28234575455.8361","31036186419.3829","34203236183.4612","37534482925.9419","41728762475.5237","45204453727.9856","46704561332.1065","49324077606.9671","51341141014.8994","54238348812.608","58099570205.4921","61712243008.4291","64294108173.6247","","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4022895108.58023","3982969370.82174","3917917991.9735","4023482059.06659","4238499442.3229","4516365066.13652","4793046032.1045","4975614997.8637","5266833556.65216","5729460629.29267","6102974659.99189","6405948503.23918","6680204681.34922","6727239462.40837","6973246687.96528","7442000823.25192","7863698468.40219","8189755356.92764","8156328768.67663","7874671455.03307","8094158147.93728","8311829625.99421","8725667093.55471","8816301474.32719","8862595721.60105","8700801789.28128","8826400995.82737","",
