 country_ name,iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bahamas,BHS,,,,,,,,,,,,,,,,,,,,,0.169356,0.173867,0.177844,0.181489,0.185097,0.188882,0.192905,0.197118,0.201511,0.206038,0.21066,0.215404,0.220275,0.225185,0.230016,0.234684,0.239132,0.243391,0.247576,0.251855,0.256338,0.261117,0.266133,0.271165,0.275903,0.280151,0.283792,0.286968,0.290054,0.293572,0.297891,0.303138,0.30917,0.315757,0.322539,0.329243,0.335801,0.342259,0.348587,0.35478,0.36083,0.366711,0.372388,0.377841,0.383054
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,0.213102,0.220808,0.229588,0.23986,0.252139,0.266686,0.283843,0.303236,0.323511,0.342829,0.359902,0.374125,0.38595,0.396447,0.407223,0.419425,0.433487,0.448994,0.465235,0.481126,0.495944,0.509654,0.522748,0.535692,0.549151,0.56373,0.579855,0.597834,0.618054,0.640904,0.666855,0.694893,0.725365,0.761595,0.807989,0.867014,0.940808,1.026568,1.115777,1.196774,1.261319,1.306014,1.333577,1.349427,1.36193
Bangladesh,BGD,,,,,,,,,,51.64679296,52.74186449,53.82025971,54.87748984,56.21347048,57.3462102,58.24052107,59.41122013,60.63755725,61.8998157,63.19903474,65.048701,66.41745,67.578486,68.658472,69.83796,71.247153,72.930206,74.848466,76.948378,79.141947,81.364176,83.599582,85.868228,88.181211,90.55954,93.015182,95.550798,98.149262,100.779551,103.400571,105.983136,108.509679,110.987459,113.442354,115.91371,118.427768,120.987124,123.574107,126.169583,128.746273,131.280739,133.776064,136.228456,138.600174,140.843786,142.929979,144.839238,146.592687,148.252473,149.905836,151.616777,153.405612,155.257387,157.157394,159.077513
Barbados,BRB,,,,,,,,,,,0.232427548,0.22968451,0.22883418,0.230825942,0.233357914,0.235069562,0.236317041,0.238314796,0.239959423,0.239412208,0.238847,0.240038,0.241441,0.24298,0.244539,0.246033,0.247444,0.248785,0.250035,0.251176,0.252197,0.25308,0.253836,0.254515,0.255195,0.255929,0.256738,0.257609,0.258524,0.259454,0.260374,0.261281,0.262184,0.263091,0.264015,0.264962,0.26594,0.266944,0.267949,0.26892,0.269838,0.270686,0.271479,0.272261,0.273091,0.274013,0.27504,0.276154,0.277315,0.278466,0.279566,0.280602,0.28158,0.282503,0.28338
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.231983,10.241137,10.234863,10.216281,10.190064,10.159731,10.126941,10.091181,10.051298,10.005259,9.952055,9.891535,9.825802,9.758817,9.695791,9.640616,9.594233,9.556061,9.526453,9.505319,9.492122,9.487674,9.490962,9.497294,9.500422
Belgium,BEL,8.663141468,8.702265552,8.754427809,8.80202661,8.843647589,8.892877835,8.948400526,9.013845769,9.077616533,9.128779459,9.143791433,9.191021102,9.243765745,9.308643904,9.392774263,9.474097886,9.533962172,9.58279651,9.616187585,9.63915118,9.66432,9.6929,9.715673,9.734412,9.751592,9.769006,9.787576,9.806885,9.825779,9.842453,9.855747,9.865512,9.872709,9.878636,9.885088,9.893499,9.903895,9.916261,9.931873,9.952253,9.978241,10.011217,10.050405,10.091889,10.130251,10.161914,10.185077,10.201758,10.216867,10.237402,10.26838,10.311331,10.364613,10.426169,10.492643,10.561436,10.632032,10.70483,10.779155,10.854388,10.929978,11.005175,11.079521,11.153122,11.226322
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,0.122179,0.124792,0.127148,0.129294,0.131306,0.133261,0.135145,0.136991,0.138972,0.141308,0.144151,0.147566,0.151498,0.15582,0.160342,0.164916,0.16957,0.174326,0.179025,0.18347,0.187552,0.191127,0.194321,0.197615,0.201678,0.206962,0.213674,0.221608,0.230289,0.239024,0.247312,0.254989,0.262202,0.269132,0.276085,0.283279,0.290751,0.298403,0.306165,0.313925,0.321609,0.329193,0.336707,0.344193,0.351706
Benin,BEN,,,,,,,,,,2.231113051,2.280970462,2.332873422,2.388423704,2.444896203,2.503705074,2.56469948,2.628227668,2.694138007,2.762534231,2.833796605,2.907769,2.971941,3.0393,3.110074,3.184547,3.262959,3.345501,3.432262,3.52327,3.618509,3.718024,3.822206,3.931355,4.045352,4.163968,4.287263,4.41445,4.546136,4.685375,4.83624,5.001271,5.182525,5.378226,5.58242,5.786794,5.985658,6.176318,6.361301,6.546493,6.740491,6.949366,7.174911,7.414744,7.665681,7.922796,8.182362,8.443717,8.707637,8.973525,9.240982,9.509798,9.779391,10.049792,10.322232,10.598482
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,0.052286,0.052857,0.053426,0.05398,0.054507,0.054994,0.055439,0.055851,0.056237,0.056613,0.05699,0.05737,0.057752,0.058138,0.058528,0.058923,0.059324,0.05973,0.060138,0.060539,0.060931,0.061311,0.06168,0.062036,0.062374,0.062694,0.062989,0.063257,0.063511,0.063768,0.064035,0.064321,0.064614,0.064875,0.065058,0.065124,0.065064,0.064891,0.064627,0.064306,0.063954,0.063578,0.063179,0.062773,0.062376
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,0.291457,0.301653,0.312712,0.324465,0.336677,0.349146,0.361862,0.374801,0.387731,0.400378,0.412561,0.423887,0.434385,0.444789,0.456135,0.46901,0.484151,0.500952,0.517068,0.529284,0.535505,0.534678,0.528085,0.518847,0.511382,0.508897,0.512377,0.520917,0.533506,0.548387,0.564187,0.580784,0.598421,0.616474,0.634235,0.651163,0.66692,0.681471,0.69499,0.70783,0.720246,0.732246,0.743711,0.754637,0.765008
