ABW,1970,31944158.180293128
ABW,1971,38014492.12849937
ABW,1972,45238374.06608287
ABW,1973,53835005.835453
ABW,1974,64065254.7930696
ABW,1975,76239546.54708426
ABW,1976,90727320.50836204
ABW,1977,107968203.6479466
ABW,1978,128485352.96940713
ABW,1979,152901394.37003317
ABW,1980,181957171.4635893
ABW,1981,216534442.52793583
ABW,1982,257682389.76612526
ABW,1983,306649696.9842278
ABW,1984,364922198.6257407
ABW,1985,434268207.6693594
ABW,1986,516792031.0923699
ABW,1987,696336067.2477877
ABW,1988,980267307.2682896
ABW,1989,1232499867.3408923
ABW,1990,1332082518.6259377
ABW,1991,1552673009.6910808
ABW,1992,1740713071.9695234
ABW,1993,2004420640.0111678
ABW,1994,2346792963.414415
ABW,1995,2465924169.9639025
ABW,1996,2527712363.628972
ABW,1997,2938200478.1883
ABW,1998,3343016501.580234
ABW,1999,3420650433.288905
ABW,2000,3736441251.910707
ABW,2001,3518048338.6578283
ABW,2002,3290486884.659424
ABW,2003,3423550458.395216
ABW,2004,3986781716.3964133
ABW,2005,4084044733.7959456
ABW,2006,4170700637.454036
ABW,2007,4341934810.084696
ABW,2008,4353953834.849757
ABW,2009,3423550458.395216
ABW,2010,3197056085.2154517
ABW,2011,3427817928.560613
ABW,2012,3332443458.1035533
ABW,2013,3651184308.9737597
ABW,2014,3737599853.515625
AGO,1970,11736800941.43357
AGO,1971,13187468630.155758
AGO,1972,13240270989.62292
AGO,1973,15472064562.233635
AGO,1974,16446201948.485416
AGO,1975,14842697153.843203
AGO,1976,13339192144.35273
AGO,1977,13553473054.980211
AGO,1978,12154875624.348034
AGO,1979,12227913855.877445
AGO,1980,12821897528.540312
AGO,1981,11718392921.252153
AGO,1982,11718392921.252153
AGO,1983,12723411078.84158
AGO,1984,14296024030.7826
AGO,1985,15314259341.73159
AGO,1986,16302362339.211018
AGO,1987,18664886399.17391
AGO,1988,20803195620.078255
AGO,1989,20964541903.19908
AGO,1990,20778703163.966984
AGO,1991,21192724436.789806
AGO,1992,18790382120.1957
AGO,1993,10858061243.538626
AGO,1994,11150867155.720573
AGO,1995,14747020665.843382
AGO,1996,19012335744.92442
AGO,1997,21878958721.848557
AGO,1998,23979856466.01659
AGO,1999,25037508193.600124
AGO,2000,26590468870.62341
AGO,2001,28286571910.4265
AGO,2002,37103837293.18685
AGO,2003,39593097440.20602
AGO,2004,48741230846.373
AGO,2005,64492718577.25983
AGO,2006,80247557902.16043
AGO,2007,104294539071.14766
AGO,2008,128885975980.22122
AGO,2009,134465170646.6272
AGO,2010,144216177695.42722
AGO,2011,149624239892.0048
AGO,2012,173342382278.0
AGO,2013,188252674619.7433
AGO,2014,206743031250.0
AIA,1970,4644440.927579856
AIA,1971,4415251.741255549
AIA,1972,5492937.692902357
AIA,1973,5961643.71321546
AIA,1974,5937619.43204017
AIA,1975,6350901.922048665
AIA,1976,6549408.092416798
AIA,1977,6574114.376567828
AIA,1978,7589889.578106885
AIA,1979,9102376.134565141
AIA,1980,10010771.31538302
AIA,1981,10769643.261186572
AIA,1982,10529988.337667845
AIA,1983,10547257.38511639
AIA,1984,11506747.852853127
AIA,1985,14656115.851784807
AIA,1986,18631438.332791734
AIA,1987,22805296.24416938
AIA,1988,30454480.012989618
AIA,1989,35852817.97305269
AIA,1990,56472303.19463261
AIA,1991,37819201.651139714
AIA,1992,62646837.20010971
AIA,1993,72296047.46057689
AIA,1994,84335879.72027263
AIA,1995,80466989.25732286
AIA,1996,84551909.1015598
AIA,1997,103591747.22102083
AIA,1998,126050798.09777573
AIA,1999,135517608.156803
AIA,2000,138990275.09178838
AIA,2001,145782698.16078487
AIA,2002,134895064.32708594
AIA,2003,150565275.01071686
AIA,2004,196116901.81892192
AIA,2005,251011387.16128942
AIA,2006,363145149.92889285
AIA,2007,466473436.0666225
AIA,2008,453013608.64253336
AIA,2009,301589831.8715804
AIA,2010,275352922.03493804
AIA,2011,305315232.25673205
AIA,2012,268124692.72936642
AIA,2013,264632664.07439142
AIA,2014,298627075.1953125
ALB,1970,2278446742.305196
ALB,1971,2464406645.201436
ALB,1972,2666215537.3088374
ALB,1973,2884771897.9649553
ALB,1974,3118407792.4434366
ALB,1975,3376322075.172088
ALB,1976,3653931033.7273293
ALB,1977,3939114037.9696
ALB,1978,4285299424.2848725
ALB,1979,4631423944.721679
ALB,1980,4935570016.414418
ALB,1981,5519017972.438416
ALB,1982,5849289961.343182
ALB,1983,5979265853.452122
ALB,1984,5830529198.414065
ALB,1985,6040019253.91524
ALB,1986,6734766764.001076
ALB,1987,6629028557.200427
ALB,1988,6442095879.170916
ALB,1989,7771787606.09265
ALB,1990,6354652323.854242
ALB,1991,3294056169.5283136
ALB,1992,2836820812.5115304
ALB,1993,3407645605.8903646
ALB,1994,3996806375.9138412
ALB,1995,5130643473.981394
ALB,1996,6107102120.074863
ALB,1997,4855077480.784105
ALB,1998,5769247485.587682
ALB,1999,7432241698.077225
ALB,2000,8449589522.153281
ALB,2001,9844680832.176138
ALB,2002,10695432379.680222
ALB,2003,11958479802.289421
ALB,2004,13353829898.97111
ALB,2005,14936336902.092892
ALB,2006,16602781929.13359
ALB,2007,18621574609.919605
ALB,2008,21534078689.91773
ALB,2009,23002933858.301517
ALB,2010,24739930501.378468
ALB,2011,26015438827.474583
ALB,2012,26867089149.243156
ALB,2013,27620621440.985535
ALB,2014,28794259765.625
ARE,1970,4728826327.015008
ARE,1971,6199491183.346166
ARE,1972,8127688070.918933
ARE,1973,10655681571.81053
ARE,1974,13969411763.298594
